
 2025-06-18T19:36:49.362Z | ::1 | GET | / 
 2025-06-18T19:36:53.676Z | ::1 | GET | /user 
 2025-06-18T19:36:55.316Z | ::1 | GET | /favicon.ico 
 2025-06-18T19:37:11.204Z | ::1 | GET | /user%0A 
 2025-06-18T19:37:12.317Z | ::1 | GET | /user%0A 
 2025-06-18T19:37:34.365Z | ::1 | GET | /user/6851ce9e1ff897217bf38b94%0A 
 2025-06-18T19:39:25.698Z | ::1 | GET | /user/6851ce9e1ff897217bf38b94%0A 
 2025-06-18T19:39:35.740Z | ::1 | DELETE | /user/6851ce9e1ff897217bf38b94%0A 
 2025-06-18T19:40:15.757Z | ::1 | DELETE | /user/6851ce9e1ff897217bf38b94%0A 
 2025-06-18T19:40:26.855Z | ::1 | GET | /user%0A 
 2025-06-18T19:40:29.573Z | ::1 | GET | /users%0A 
 2025-06-18T19:40:30.825Z | ::1 | GET | /users%0A 
 2025-06-18T19:40:33.554Z | ::1 | GET | /user%0A 
 2025-06-18T19:42:04.489Z | ::1 | GET | /user%0A 
 2025-06-18T19:48:52.123Z | ::1 | GET | / 
 2025-06-18T19:48:55.424Z | ::1 | GET | /user 
 2025-06-18T19:48:56.403Z | ::1 | GET | /users 
 2025-06-18T19:49:00.163Z | ::1 | GET | /user 
 2025-06-18T19:49:11.603Z | ::1 | GET | /user 
 2025-06-18T19:49:22.253Z | ::1 | GET | /user/68530df996b246760b9fb377 
 2025-06-18T19:50:10.543Z | ::1 | GET | /user 
 2025-06-18T19:50:23.180Z | ::1 | POST | /user 
